item_id,detect_id,width,length
0,98,0,0
1,1,180,317
2,1,180,412
3,4,150,418
4,4,150,300
5,5,180,326
6,6,150,311
7,9,180,318
8,9,180,417
9,99,150,417
10,10,150,300
11,11,180,307
12,6,150,311
13,3,150,317
14,8,150,422
15,8,185,301
16,7,185,321
17,99,185,320
18,8,185,429
19,99,185,429
20,98,0,0
21,98,0,0
22,0,250,310
23,99,180,437
24,98,0,0
25,98,0,0
26,0,250,310
27,98,0,0
28,98,0,0
29,98,0,0
30,98,0,0
31,2,180,437
32,98,0,0
33,98,0,0
34,98,0,0
35,98,0,0
36,98,0,0
37,98,0,0
38,98,0,0
39,98,0,0
40,98,0,0
41,99,150,300
42,99,180,316
43,6,150,310
44,99,180,316
45,99,260,310
46,12,150,311
47,99,180,326
48,13,137,311

